ord,edon,seccion,munn,dis1994,dis1997,dis2000,dis2003,dis2006,dis2009,dis2012,dis2013.1,dis2013.3
5250,6,1,1,1,1,1,1,1,1,1,2,2
5251,6,2,1,1,1,1,1,1,1,1,2,2
5252,6,3,1,1,1,1,1,1,1,1,2,2
5253,6,4,1,1,1,1,1,1,1,1,2,2
5254,6,5,1,1,1,1,1,1,1,1,2,2
5255,6,6,1,1,1,1,1,1,1,1,2,2
5256,6,7,1,1,1,1,1,1,1,1,2,2
5257,6,8,1,1,1,1,1,1,1,1,2,2
5258,6,9,1,1,1,1,1,1,1,1,2,2
5259,6,10,1,1,1,1,1,1,1,1,2,2
5260,6,11,1,1,1,1,1,1,1,1,2,2
5261,6,12,1,1,1,1,1,1,1,1,2,2
5262,6,13,1,1,1,1,1,1,1,1,2,2
5263,6,14,1,1,1,1,1,1,1,1,2,2
5264,6,15,1,1,1,1,1,1,1,1,2,2
5265,6,16,1,1,1,1,1,1,1,1,2,2
5266,6,17,1,1,1,1,1,1,1,1,2,2
5267,6,18,1,1,1,1,1,1,1,1,2,2
5268,6,19,1,1,1,1,1,1,1,1,2,2
5269,6,20,1,1,1,1,1,1,1,1,2,2
5270,6,21,1,1,1,1,1,1,1,1,2,2
5271,6,22,1,1,1,1,1,1,1,1,2,2
5272,6,23,1,1,1,1,1,1,1,1,2,2
5273,6,24,1,1,1,1,1,1,1,1,2,2
5274,6,25,1,1,1,1,1,1,1,1,2,2
5275,6,26,1,1,1,1,1,1,1,1,2,2
5276,6,27,1,1,1,1,1,1,1,1,2,2
5277,6,28,1,1,1,1,1,1,1,1,2,2
5278,6,29,1,1,1,1,1,1,1,1,2,2
5279,6,30,1,1,1,1,1,1,1,1,2,2
5280,6,31,1,1,1,1,1,1,1,1,2,2
5281,6,32,1,1,1,1,1,1,1,1,2,2
5282,6,33,1,1,1,1,1,1,1,1,2,2
5283,6,34,1,1,1,1,1,1,1,1,2,2
5284,6,35,1,1,1,1,1,1,1,1,2,2
