seccion,ord,edon,seccion,munn,dis1994,dis1997,dis2000,dis2003,dis2006,dis2009,dis2012,dis2013.1,dis2013.3
1,5250,6,1,1,1,1,1,1,1,1,1,2,2
2,5251,6,2,1,1,1,1,1,1,1,1,2,2
3,5252,6,3,1,1,1,1,1,1,1,1,2,2
4,5253,6,4,1,1,1,1,1,1,1,1,2,2
5,5254,6,5,1,1,1,1,1,1,1,1,2,2
6,5255,6,6,1,1,1,1,1,1,1,1,2,2
7,5256,6,7,1,1,1,1,1,1,1,1,2,2
8,5257,6,8,1,1,1,1,1,1,1,1,2,2
9,5258,6,9,1,1,1,1,1,1,1,1,2,2
10,5259,6,10,1,1,1,1,1,1,1,1,2,2
11,5260,6,11,1,1,1,1,1,1,1,1,2,2
12,5261,6,12,1,1,1,1,1,1,1,1,2,2
13,5262,6,13,1,1,1,1,1,1,1,1,2,2
14,5263,6,14,1,1,1,1,1,1,1,1,2,2
15,5264,6,15,1,1,1,1,1,1,1,1,2,2
16,5265,6,16,1,1,1,1,1,1,1,1,2,2
17,5266,6,17,1,1,1,1,1,1,1,1,2,2
18,5267,6,18,1,1,1,1,1,1,1,1,2,2
19,5268,6,19,1,1,1,1,1,1,1,1,2,2
20,5269,6,20,1,1,1,1,1,1,1,1,2,2
21,5270,6,21,1,1,1,1,1,1,1,1,2,2
22,5271,6,22,1,1,1,1,1,1,1,1,2,2
23,5272,6,23,1,1,1,1,1,1,1,1,2,2
24,5273,6,24,1,1,1,1,1,1,1,1,2,2
25,5274,6,25,1,1,1,1,1,1,1,1,2,2
26,5275,6,26,1,1,1,1,1,1,1,1,2,2
27,5276,6,27,1,1,1,1,1,1,1,1,2,2
28,5277,6,28,1,1,1,1,1,1,1,1,2,2
29,5278,6,29,1,1,1,1,1,1,1,1,2,2
30,5279,6,30,1,1,1,1,1,1,1,1,2,2
31,5280,6,31,1,1,1,1,1,1,1,1,2,2
32,5281,6,32,1,1,1,1,1,1,1,1,2,2
33,5282,6,33,1,1,1,1,1,1,1,1,2,2
34,5283,6,34,1,1,1,1,1,1,1,1,2,2
35,5284,6,35,1,1,1,1,1,1,1,1,2,2
36,5285,6,36,1,1,1,1,1,1,1,1,2,2
37,5286,6,37,1,1,1,1,1,1,1,1,2,2
38,5287,6,38,1,1,1,1,1,1,1,1,2,2
39,5288,6,39,1,1,1,1,1,1,1,1,2,2
40,5289,6,40,1,1,1,1,1,1,1,1,2,2
41,5290,6,41,1,1,1,1,1,1,1,1,2,2
42,5291,6,42,1,1,1,1,1,1,1,1,2,2
43,5292,6,43,1,1,1,1,1,1,1,1,2,2
44,5293,6,44,1,1,1,1,1,1,1,1,2,2
45,5294,6,45,1,1,1,1,1,1,1,1,2,2
46,5295,6,46,1,1,1,1,1,1,1,1,2,2
47,5296,6,47,1,1,1,1,1,1,1,1,2,2
48,5297,6,48,1,1,1,1,1,1,1,1,2,2
49,5298,6,49,1,1,1,1,1,1,1,1,2,2
50,5299,6,50,1,1,1,1,1,1,1,1,2,2
51,5300,6,51,1,1,1,1,1,1,1,1,2,2
52,5301,6,52,1,1,1,1,1,1,1,1,2,2
53,5302,6,53,1,1,1,1,1,1,1,1,2,2
54,5303,6,54,1,1,1,1,1,1,1,1,2,2
55,5304,6,55,1,1,1,1,1,1,1,1,2,2
56,5305,6,56,1,1,1,1,1,1,1,1,2,2
57,5306,6,57,1,1,1,1,1,1,1,1,2,2
58,5307,6,58,1,1,1,1,1,1,1,1,2,2
59,5308,6,59,1,1,1,1,1,1,1,1,2,2
60,5309,6,60,1,1,1,1,1,1,1,1,2,2
61,5310,6,61,1,1,1,1,1,1,1,1,2,2
62,5311,6,62,1,1,1,1,1,1,1,1,2,2
63,5312,6,63,1,1,1,1,1,1,1,1,2,2
64,5313,6,64,1,1,1,1,1,1,1,1,2,2
65,5314,6,65,1,1,1,1,1,1,1,1,2,2
66,5315,6,66,1,1,1,1,1,1,1,1,2,2
67,5316,6,67,1,1,1,1,1,1,1,1,2,2
68,5317,6,68,1,1,1,1,1,1,1,1,2,2
69,5318,6,69,1,1,1,1,1,1,1,1,2,2
